Name,URL,Date
Father Roger Guindon Cup 2023,https://randompa4.calicotab.com/Guindon/,2023-01-28
Father Roger Guindon Cup 2024,https://guindon2024.calicotab.com/guindon2024/,2024-01-27
Father Roger Guindon Cup 2025,https://eds.calicotab.com/ottawaiv2025/,2025-02-01
FHDO x BBO BP 2022,https://bigboi.calicotab.com/fhdoxbbo-bp/,2022-06-12
Glasgow Ancients 2023,https://guu2023.calicotab.com/ancients2023/4,2023-04-07
Glasgow Ancients 2024,https://glasgowancients24.calicotab.com/_/,2024-04-05
Glasgow Ancients 2025,https://glasgowancients2025.calicotab.com/glasgowancients2025/,2025-05-11
Glasgow Summer Cup 2023,https://glasgowsummer2023.calicotab.com/_/,2023-07-15
Glasgow Summer Cup 2024,https://glasgowsummer2024.calicotab.com/_/,2024-07-14
Groningen Open 2021,https://tabtastic.calicotab.com/groningen2021/,2021-04-07
Habib University DC 2021,https://hudc2021.calicotab.com/hudc2021/,2021-06-19
Hart House IV 2020,https://hhiv2020.calicotab.com/hhiv2020/,2020-10-17
Hart House IV 2021,https://hhiv2021.calicotab.com/HHIV2021/,2021-10-16
Hart House IV 2022,https://hhiv2022.calicotab.com/hhiv2022/,2022-10-14
Hart House IV 2023,https://hhiv2023.calicotab.com/hhiv2023/,2023-10-13
Hart House IV 2024,https://hhiv2024.calicotab.com/_/,2024-10-18
Helsinki Open 2021,https://helsinkiopen2021.calicotab.com/helsinki2021/,2021-06-18
HKDC 2023,https://hkdc2023.calicotab.com/hkdc2023/,2023-01-27
HKDC 2024,https://hkdc2024.calicotab.com/HKDC-2024/,2024-01-26
Hugill Cup 2020,https://hugill2020.calicotab.com/hugill2020/,2020-10-31
Hungarian Schools DA Pre-WUDC 2024,https://hsda2024.calicotab.com/hsda2024/,2024-11-09
HWS Round Robin 2023,https://hwsrr2023.calicotab.com/hwsrr2023/,2023-04-01
HWS Round Robin 2024,https://hwsrr2024.calicotab.com/hwsrr2024/,2024-04-06
HWS Round Robin 2025,https://hwsrr2025.calicotab.com/_/,2025-04-05
Hypothetical Open 2023,https://hypotheticalopen.calicotab.com/_/,2023-02-18
Hypothetical Open 2024,https://hypotheticalopen.calicotab.com/2/,2024-01-27
IIT Bombay Debate (13th),https://13iitdebate.calicotab.com/13-IITB-Debate/,2021-10-15
IIT Bombay Debate (14th),https://iitbombaydebate2022.calicotab.com/iitbombaydebate2022/,2022-10-28
IIT Bombay Debate (15th),https://15thiitbombaydebate.calicotab.com/15thiitbombaydebate2023/,2023-01-20
IIT Bombay Debate (16th),https://16thiitbombaydebate.calicotab.com/16thiitb/,2023-10-27
IIT Bombay Debate (17th),https://17thiitbombaydebate.calicotab.com/17thiitb/,2024-10-17
IIT Bombay Debate (18th),https://18thiitbombaydebate.calicotab.com/18thiitb/,2025-02-15
IITB Grand Prix 2024,https://iitbgrandprix.calicotab.com/iitb2024/,2024-02-11
IIUM Open 2024,https://iiuminterschooldebatingchampionship2023.calicotab.com/iiumopen2024/,2024-12-01
ILNU BPD 2023,https://ilnubpd2023.calicotab.com/2023/,2023-02-16
ILNU BPD 2024,https://ilnubpd2024.calicotab.com/ilnubpd/,2024-02-17
Imperial IV 2022,https://imperialiv2022.calicotab.com/_/,2022-07-09
Imperial IV 2023,https://iv.imperialdebating.org/2023/,2023-08-12
Imperial IV 2024,https://imperialiv24.calicotab.com/impiv24/,2024-07-20
Imperial Juniors 2025,https://imperialjuniors2025.calicotab.com/imperialjuniors2025/,2025-02-08
Imperial Open 2025,https://imperialonlineopen2025.calicotab.com/imperialonlineopen2025/,2025-04-19
India WUDC Fundraiser 2023,https://indiawudcfundraiser.calicotab.com/_/,2023-12-16
Indian Debate Open 2024,https://ufd.calicotab.com/ido24/,2024-07-27
Indian WGMDC 2023,https://iwgmdc23.calicotab.com/6thIWGMDC23/,2023-11-18
Indo-Pacific Pro-Am 2024,https://ufd.calicotab.com/ProAm24/,2024-07-20
